                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0876,                 0.7324,                 1.2515,                0.76195,                0.70398,                0.75374,                 0.4857,                 1.2859,                 1.0107,                 1.5191,                0.00148,                0.00148,                0.00148
                     36,                 1.0734,                0.69828,                 1.2209,                0.75205,                0.72329,                0.77963,                0.50795,                 1.2996,                0.88198,                 1.5405,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.0952,                0.69793,                 1.2341,                0.81275,                0.69005,                0.77686,                0.50624,                 1.3045,                0.87707,                 1.5475,               0.001469,               0.001469,               0.001469
                     38,                 1.0543,                 0.6749,                 1.2158,                0.79169,                0.69843,                 0.7649,                0.49517,                 1.2819,                0.93111,                 1.5362,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0765,                0.71275,                 1.2346,                0.74304,                0.71579,                0.75639,                 0.4748,                 1.2934,                0.93695,                 1.5373,               0.001458,               0.001458,               0.001458
                     40,                 1.0248,                0.68277,                 1.1716,                0.77833,                0.69963,                0.78989,                0.51292,                 1.2492,                0.83969,                 1.4861,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.0385,                0.68922,                 1.2233,                 0.7694,                0.72543,                0.79567,                0.51063,                 1.2885,                0.85332,                 1.4961,               0.001447,               0.001447,               0.001447
                     42,                  1.036,                0.66463,                 1.1907,                0.85164,                0.68782,                0.79198,                0.52295,                 1.2694,                0.83736,                 1.4654,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.0195,                0.63852,                 1.1925,                 0.7809,                0.77301,                0.80383,                0.53868,                 1.2189,                0.82599,                 1.4552,               0.001436,               0.001436,               0.001436
                     44,                 1.0378,                0.65167,                 1.1964,                0.80404,                0.71999,                0.80817,                0.53355,                 1.2381,                0.83799,                 1.4562,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.0189,                0.64605,                 1.1788,                0.82686,                  0.703,                 0.7937,                0.53221,                 1.2095,                 0.8338,                 1.4356,               0.001425,               0.001425,               0.001425
                     46,                  1.016,                0.64353,                 1.1733,                0.80364,                0.72516,                0.79106,                 0.5173,                 1.2517,                0.88527,                 1.4654,              0.0014195,              0.0014195,              0.0014195
                     47,                0.99435,                0.62872,                 1.1726,                 0.7979,                 0.7202,                 0.7908,                0.52272,                 1.2533,                0.88281,                 1.4978,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.0136,                0.64137,                 1.1773,                0.80755,                0.69863,                0.78658,                0.53853,                 1.1904,                0.85271,                 1.4308,              0.0014084,              0.0014084,              0.0014084
                     49,                 0.9936,                0.62259,                 1.1872,                0.80951,                0.72761,                0.80205,                0.54495,                 1.1751,                 0.8376,                 1.4144,              0.0014029,              0.0014029,              0.0014029
                     50,                0.98968,                0.62185,                  1.178,                0.84946,                0.73507,                0.81588,                0.54681,                  1.183,                0.76773,                 1.4096,              0.0013974,              0.0013974,              0.0013974
                     51,                 0.9503,                 0.6334,                 1.1709,                0.80737,                0.73774,                0.80457,                0.54154,                   1.21,                0.77876,                 1.4456,              0.0013919,              0.0013919,              0.0013919
                     52,                0.90857,                0.58316,                 1.1427,                0.83263,                0.75871,                0.83327,                 0.5669,                 1.1807,                0.76121,                  1.433,              0.0013864,              0.0013864,              0.0013864
                     53,                0.95142,                0.60152,                 1.1682,                0.77578,                 0.7842,                0.81672,                0.55827,                 1.1864,                0.79471,                  1.423,              0.0013809,              0.0013809,              0.0013809
                     54,                0.94359,                0.59176,                  1.158,                0.83635,                0.72998,                0.80932,                0.54697,                 1.1753,                0.80971,                 1.4253,              0.0013754,              0.0013754,              0.0013754
                     55,                 0.9212,                0.57258,                 1.1231,                 0.8145,                0.71718,                0.78876,                0.53974,                 1.1508,                0.81744,                 1.4248,              0.0013699,              0.0013699,              0.0013699
                     56,                0.92304,                0.58225,                  1.125,                0.84834,                0.71455,                0.81444,                0.56296,                 1.1106,                0.78845,                 1.4003,              0.0013644,              0.0013644,              0.0013644
                     57,                0.91043,                 0.5662,                 1.1178,                0.85945,                0.70128,                0.81516,                  0.572,                 1.1149,                0.76372,                 1.3822,              0.0013589,              0.0013589,              0.0013589
